Ghazal/Nazm,Poet,Fran,Rekhta,Music,Others,PDFs,Date,Status
Darshan,Miraji,https://drive.google.com/file/d/1jWhsie9SaOItpGWtnauIZ1GPDG6nIYgV/view,,,,file (https://v5.airtableusercontent.com/v3/u/51/51/1773518400000/7KECxmCY23Fmt8jfiuae8A/-3s3krhKAWBFYRB6zOI-FNj92-BvD6LJMFedPtwCPRzuFk-DCWOT9hfgHLozrgFkwnpXrDJRr9jn7NMKIYY-ASE-W0sSKBewZPaECjT70UnHDiKV_6M9ly6FL-LqHrv-CIY2fhBpGBKnwHo5wcB7FhWYqoDO_UF4KUdJcXvIWKfSU10WVoWFpfzoxhSOMJRPn8Zjxet5k91VffQqmDjNwVr9_OPfrQKWSNzjgcMpIChG3KSebQm1yMqeaJsl_HypVv52evb3npQAUX95Dd01ltRwrVhxS7n7R3v3WqtPA_kKn4tTPkTJNv5CqXxzlGzRP2nYCAh6kFGg13XHAfPvRtMkPaZk-ubDqFwglLizSpHaN3xKdoId0UOZ0PRPSliBp4XoLU6UNnBOdZKSQOARqJrPwyq4zBBeall4ou71gUDduyIeN-W7u-9FKhgBUhOElxAI2NdjA76hOD2hV_qm2g/EPOz0F7aS67GRzAMXs5X-7NFDlje_7-v8hbvn_xYnts),"April 10, 2020",Added
zikr us parii-vash kaa aur phir bayaaN apnaa,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/043/index_043.html,,"- Begum Akhtar: https://www.youtube.com/watch?v=jFJxU4afjIs&t=191s

- Audio:https://www.youtube.com/watch?v=mblW0p4Nk0c

- Farida Khanum: https://www.youtube.com/watch?v=Krxjk7UtlbQ

- Mohd. Rafi: https://www.youtube.com/watch?v=YNCfYPF3grQ

- Zia Mohyeddin: https://www.youtube.com/watch?v=3O47VFqvjUI
	",,,"April 10, 2020",Added
gaahe gaahe bas ab yahī ho kyā ,Jaun Elia,,https://www.rekhta.org/ghazals/gaahe-gaahe-bas-ab-yahii-ho-kyaa-jaun-eliya-ghazals?lang=ur,,,tn.jsp?f=001KC4X0uyXYxou2KDmCrdALKLNOAsXKwSgmjbuKuu86HbZ7NJXfbrGNao449q0TQLwq83FKtZr40iMgtAo6Th9Ypf0xPz7l0MOW_iqcCQL3kHCIIB4Ehnc_dC-ZyDRJXQ9eGNDGd2oIMGxvrQ75uMT7wfeo0aL-0BCfO0QDyVXBYnwVEyuMH1rMDs5Lw1WAMHQrCoq5GsqwTOlKX3_ZB8rIGU5oSFUkRbI3cVmWRVpBYo=&c=8... (https://v5.airtableusercontent.com/v3/u/51/51/1773518400000/pKNYySBHHYnDXKDVYqlw7g/MGVPGLSWynSuf9aaQKeBYymG6saoeHAeTjq5ezpwsQMo1aqyD28xZ5EsYvegNdIrvustyC5DeLIPicsarLFAOmOGdnAap8udR92UHHzoQndsEJfec4oXNU5cudbAXJ6xMNfG4SQLjEXUn1tri_xdKKfWs9nqFbbySOKke3IWaqtscS2qhVHw7M8od2IQxKiLoI8sQHt7NvA6GWVrKF3K_gBtTX1QqMmV6ixK8J4HR9VUrnpyNR5q14tYnlL6FDqeifbir4yKv-VWpe-rMhbEVJHwU4dAaAYRTjyGWzgb1n5lMfUywu7vCKdIRhfoaqPX18i9m4IRHnNNF9YRDamoMifM7e3ycrkRURDcL_nr9cXXFLVyvta2_ROJzHY6FIbRgXxlV09et4Cnll2EFQlDPxZz_wlpSzcy63LDswEZ1A4Dd4vgbs3ZazEgVhcs_f5h_sfRMRHyvtkVV-xz8j_Kfg/IyrNPH4o3xviMzU6q3-1_2YmTZ3DynkvDwOJJnbwXHA),"April 17, 2020",Added
jaur se baaz aae par baaz aaeN kyaa,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/046/index_046.html,,,,,"April 17, 2020",Added
bolī ḳhud-sar havā ek zarra hai tū ,Akhtarul Iman,,https://www.rekhta.org/nazms/e-timaad-akhtar-ul-iman-nazms?lang=ur,,,script_urdu (https://v5.airtableusercontent.com/v3/u/51/51/1773518400000/6pufHm9XTPpW6vqpDVC8WA/z-xThcH86HHIp9sK_cvTOaaHA6F_nhAs4FvJpCpJH_SskjDVEKk7i-P7y7nzUAVGfuGlsfaVDcWBqYA8pmqyWvMf-nGC6Yc62tu8NHJQPojhMmL8H6pO5wtNaU3DKCilW-_ErL1c7Em8d7CIdKBXaYpFGSfv2X0PO_WMEKEJgmilovIXYDbiAxiBJdc7xlPw9Ska5UccEErq5Bsg7hLTAj8arfYEXdqpzZQ-7z_isxoID_5NZnVL0-D-fDc2xW8ziYxefdVRU01Rg1b7n4waHaTn9pj7MfSS454kHSGkFXI1kS9Csa7uqnrOuRblGDsyCCNFZfaLZPuD0YIqeScC8blpVKO7JP1NG1X3xX6cYuTGJgp1SU2Hg4-oBkM6rQSbDURiuaucpsFNgiJYNuPsL8-bjblPwcx_DIMEVxKwO-jkpDwT6jgPsK-S-Es86AdSkL8DhUxXFDGljk1412w0DQ/8I_8Eky1EuBLNRZfNQ69YhPXowcALoJ0JOrjuk3-BVw),"April 24, 2020",Added
ʿishrat-e qat̤rah hai daryā meñ fanā ho jānā,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/048/index_048.html,,"- Ustad Barkat Ali Khan: https://www.youtube.com/watch?v=UXyVVba5CaM

- Shumona Roy Biswas: https://www.youtube.com/watch?v=GJdUVhYhhuI&t=171s

- M.S. Subbulakshmi: https://www.youtube.com/watch?v=_EbIESRjc2I
",,,"April 24, 2020",Added
sach hai hamīñ ko aap ke shikve bajā na the ,Faiz Ahmed Faiz,,https://rekhta.org/nazms/vaasokht-sach-hai-hamiin-ko-aap-ke-shikve-bajaa-na-the-faiz-ahmad-faiz-nazms?lang=ur,,,,"May 3, 2020",Added
phir huʾā vaqt kih ho bāl-kushā mauj-e sharāb,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/049/index_049.html,,,,,"May 3, 2020",Added
sar meñ saudā bhī nahīñ dil meñ tamannā bhī nahīñ ,Firaq Gorakhpuri,,https://www.rekhta.org/ghazals/sar-men-saudaa-bhii-nahiin-dil-men-tamannaa-bhii-nahiin-firaq-gorakhpuri-ghazals?lang=ur,"- Begum Akhtar: https://www.youtube.com/watch?v=YtjBZHH36PA
",,,"May 10, 2020",Added
āmad-e ḳhat̤ se huʾā hai sard jo bāzār-e dost,Ghalib,http://www.columbia.edu/itc/mealac/pritchett/00ghalib/053/index_053.html,,,,,"May 10, 2020",Added
